onset	duration	event_type
2.00	3.50	hit
7.54	3.50	false_alarm
13.06	3.50	hit
18.56	3.50	false_alarm
24.17	3.50	hit
29.66	3.50	false_alarm
35.36	3.50	hit
43.36	3.50	false_alarm
50.86	3.50	omiss
57.01	3.50	cor_rejec
62.53	3.50	cor_rejec
68.04	3.50	hit
73.54	3.50	false_alarm
79.04	3.50	hit
85.10	3.50	cor_rejec
90.58	3.50	hit
96.01	3.50	hit
101.55	3.50	cor_rejec
106.95	3.50	cor_rejec
112.58	3.50	hit
117.98	3.50	cor_rejec
123.52	3.50	hit
129.07	3.50	hit
134.52	3.50	cor_rejec
140.01	3.50	cor_rejec
145.53	3.50	hit
151.25	3.50	cor_rejec
156.68	3.50	omiss
162.22	3.50	cor_rejec
169.58	3.50	cor_rejec
177.58	3.50	cor_rejec
184.59	3.50	omiss
190.05	3.50	cor_rejec
195.46	3.50	hit
200.91	3.50	false_alarm
206.37	3.50	hit
212.02	3.50	omiss
219.42	3.50	hit
227.39	3.50	cor_rejec
234.59	3.50	hit
240.13	3.50	hit
245.60	3.50	hit
251.00	3.50	cor_rejec
256.50	3.50	false_alarm
262.15	3.50	hit
267.62	3.50	cor_rejec
273.02	3.50	hit
278.81	3.50	cor_rejec
284.30	3.50	omiss
289.85	3.50	cor_rejec
295.34	3.50	hit
300.87	3.50	omiss
306.34	3.50	hit
311.96	3.50	cor_rejec
317.36	3.50	hit
323.36	3.50	cor_rejec
328.90	3.50	cor_rejec
334.32	3.50	omiss
339.81	3.50	cor_rejec
345.21	3.50	cor_rejec
353.01	3.50	hit
361.01	3.50	false_alarm
367.11	3.50	hit
372.59	3.50	cor_rejec
377.99	3.50	hit
383.41	3.50	cor_rejec
388.93	3.50	cor_rejec
394.56	3.50	hit
399.96	3.50	false_alarm
405.44	3.50	hit
410.86	3.50	cor_rejec
416.31	3.50	hit
421.76	3.50	hit
427.96	3.50	hit
435.36	3.50	hit
443.36	3.50	cor_rejec
450.41	3.50	omiss
455.96	3.50	cor_rejec
461.41	3.50	cor_rejec
466.86	3.50	hit
472.38	3.50	cor_rejec
477.92	3.50	cor_rejec
483.35	3.50	hit
488.87	3.50	cor_rejec
494.40	3.50	hit
499.85	3.50	cor_rejec
505.42	3.50	cor_rejec
510.83	3.50	hit
516.42	3.50	cor_rejec
521.82	3.50	hit
