onset	duration	event_type
2.01	3.50	cor_rejec
7.54	3.50	omiss
13.06	3.50	false_alarm
18.56	3.50	omiss
24.17	3.50	cor_rejec
29.66	3.50	false_alarm
35.36	3.50	hit
43.36	3.50	omiss
50.86	3.50	false_alarm
57.01	3.50	hit
62.53	3.50	cor_rejec
68.04	3.50	false_alarm
73.55	3.50	cor_rejec
79.05	3.50	omiss
85.10	3.50	false_alarm
90.58	3.50	cor_rejec
96.01	3.50	hit
101.55	3.50	false_alarm
106.95	3.50	cor_rejec
112.58	3.50	false_alarm
117.98	3.50	omiss
123.52	3.50	cor_rejec
129.07	3.50	omiss
134.52	3.50	false_alarm
140.01	3.50	hit
145.53	3.50	cor_rejec
151.25	3.50	hit
156.67	3.50	hit
162.20	3.50	hit
169.57	3.50	cor_rejec
177.57	3.50	omiss
184.57	3.50	false_alarm
190.04	3.50	omiss
195.44	3.50	cor_rejec
200.89	3.50	false_alarm
206.35	3.50	omiss
212.01	3.50	false_alarm
219.41	3.50	omiss
227.38	3.50	hit
234.58	3.50	hit
240.12	3.50	omiss
245.59	3.50	hit
250.99	3.50	cor_rejec
256.49	3.50	hit
262.14	3.50	omiss
267.60	3.50	omiss
273.00	3.50	hit
278.80	3.50	cor_rejec
284.27	3.50	omiss
289.82	3.50	false_alarm
295.31	3.50	cor_rejec
300.84	3.50	omiss
306.31	3.50	false_alarm
311.92	3.50	cor_rejec
317.32	3.50	hit
323.32	3.50	false_alarm
328.87	3.50	cor_rejec
334.29	3.50	hit
339.78	3.50	cor_rejec
345.18	3.50	cor_rejec
352.98	3.50	hit
360.98	3.50	false_alarm
367.08	3.50	omiss
372.56	3.50	false_alarm
377.96	3.50	cor_rejec
383.38	3.50	hit
388.89	3.50	hit
394.53	3.50	hit
399.93	3.50	cor_rejec
405.41	3.50	cor_rejec
410.83	3.50	omiss
416.28	3.50	omiss
421.73	3.50	hit
427.93	3.50	cor_rejec
435.33	3.50	hit
443.33	3.50	omiss
450.38	3.50	cor_rejec
455.93	3.50	false_alarm
461.38	3.50	omiss
466.83	3.50	hit
472.35	3.50	cor_rejec
477.88	3.50	omiss
483.32	3.50	cor_rejec
488.84	3.50	hit
494.37	3.50	cor_rejec
499.82	3.50	false_alarm
505.39	3.50	hit
510.80	3.50	omiss
516.39	3.50	cor_rejec
521.79	3.50	cor_rejec
