onset	duration	event_type
2.02	3.50	omiss
7.55	3.50	cor_rejec
13.07	3.50	omiss
18.57	3.50	cor_rejec
24.18	3.50	hit
29.67	3.50	omiss
35.37	3.50	cor_rejec
43.37	3.50	cor_rejec
50.87	3.50	hit
57.02	3.50	false_alarm
62.54	3.50	omiss
68.05	3.50	omiss
73.55	3.50	omiss
79.06	3.50	cor_rejec
85.11	3.50	hit
90.59	3.50	omiss
96.02	3.50	cor_rejec
101.56	3.50	omiss
106.96	3.50	omiss
112.59	3.50	hit
117.99	3.50	cor_rejec
123.53	3.50	omiss
129.08	3.50	false_alarm
134.53	3.50	omiss
140.02	3.50	false_alarm
145.54	3.50	omiss
151.26	3.50	false_alarm
156.68	3.50	cor_rejec
162.21	3.50	cor_rejec
169.58	3.50	omiss
177.58	3.50	false_alarm
184.58	3.50	hit
190.04	3.50	false_alarm
195.45	3.50	hit
200.90	3.50	hit
206.37	3.50	false_alarm
212.02	3.50	hit
219.42	3.50	cor_rejec
227.39	3.50	false_alarm
234.59	3.50	cor_rejec
240.13	3.50	false_alarm
245.60	3.50	false_alarm
251.00	3.50	hit
256.50	3.50	false_alarm
262.15	3.50	false_alarm
267.61	3.50	cor_rejec
273.01	3.50	false_alarm
278.81	3.50	omiss
284.29	3.50	false_alarm
289.84	3.50	hit
295.33	3.50	omiss
300.87	3.50	false_alarm
306.33	3.50	hit
311.95	3.50	hit
317.35	3.50	cor_rejec
323.35	3.50	hit
328.90	3.50	hit
334.32	3.50	false_alarm
339.80	3.50	omiss
345.20	3.50	hit
353.00	3.50	false_alarm
361.00	3.50	omiss
367.10	3.50	cor_rejec
372.59	3.50	hit
377.99	3.50	hit
383.40	3.50	false_alarm
388.92	3.50	cor_rejec
394.55	3.50	cor_rejec
399.95	3.50	hit
405.44	3.50	hit
410.86	3.50	false_alarm
416.31	3.50	cor_rejec
421.76	3.50	cor_rejec
427.96	3.50	hit
435.36	3.50	false_alarm
443.36	3.50	cor_rejec
450.41	3.50	omiss
455.96	3.50	omiss
461.41	3.50	false_alarm
466.86	3.50	false_alarm
472.38	3.50	hit
477.91	3.50	false_alarm
483.34	3.50	hit
488.86	3.50	false_alarm
494.39	3.50	omiss
499.85	3.50	hit
505.41	3.50	cor_rejec
510.83	3.50	cor_rejec
516.41	3.50	omiss
521.81	3.50	hit
