onset	duration	event_type
2.02	3.50	cor_rejec
7.57	3.50	hit
13.09	3.50	cor_rejec
18.59	3.50	hit
24.21	3.50	cor_rejec
29.70	3.50	hit
35.41	3.50	false_alarm
43.41	3.50	hit
50.91	3.50	cor_rejec
57.06	3.50	hit
62.58	3.50	omiss
68.09	3.50	cor_rejec
73.60	3.50	omiss
79.10	3.50	cor_rejec
85.15	3.50	hit
90.64	3.50	cor_rejec
96.08	3.50	cor_rejec
101.61	3.50	omiss
107.01	3.50	hit
112.65	3.50	cor_rejec
118.05	3.50	omiss
123.58	3.50	cor_rejec
129.13	3.50	cor_rejec
134.58	3.50	omiss
140.07	3.50	omiss
145.58	3.50	cor_rejec
151.30	3.50	hit
156.72	3.50	cor_rejec
162.25	3.50	hit
169.62	3.50	omiss
177.60	3.50	omiss
184.60	3.50	cor_rejec
190.07	3.50	hit
195.47	3.50	cor_rejec
200.92	3.50	hit
206.39	3.50	cor_rejec
212.04	3.50	cor_rejec
219.44	3.50	cor_rejec
227.41	3.50	hit
234.61	3.50	cor_rejec
240.14	3.50	cor_rejec
245.61	3.50	cor_rejec
251.01	3.50	hit
256.51	3.50	hit
262.16	3.50	cor_rejec
267.62	3.50	hit
273.03	3.50	cor_rejec
278.82	3.50	hit
284.30	3.50	cor_rejec
289.84	3.50	omiss
295.33	3.50	cor_rejec
300.86	3.50	cor_rejec
306.33	3.50	cor_rejec
311.94	3.50	hit
317.35	3.50	cor_rejec
323.35	3.50	omiss
328.89	3.50	hit
334.31	3.50	cor_rejec
339.80	3.50	omiss
345.20	3.50	omiss
353.00	3.50	cor_rejec
361.00	3.50	hit
367.10	3.50	cor_rejec
372.59	3.50	omiss
377.99	3.50	cor_rejec
383.40	3.50	omiss
388.92	3.50	omiss
394.56	3.50	cor_rejec
399.96	3.50	hit
405.45	3.50	false_alarm
410.86	3.50	omiss
416.32	3.50	cor_rejec
421.77	3.50	cor_rejec
427.97	3.50	cor_rejec
435.37	3.50	cor_rejec
443.37	3.50	omiss
450.42	3.50	cor_rejec
455.97	3.50	omiss
461.42	3.50	omiss
466.87	3.50	cor_rejec
472.38	3.50	hit
477.93	3.50	omiss
483.37	3.50	cor_rejec
488.89	3.50	omiss
494.42	3.50	cor_rejec
499.87	3.50	omiss
505.44	3.50	hit
510.85	3.50	false_alarm
516.44	3.50	omiss
521.84	3.50	cor_rejec
