onset	duration	event_type
2.01	3.50	cor_rejec
7.56	3.50	hit
13.09	3.50	cor_rejec
18.60	3.50	hit
24.23	3.50	cor_rejec
29.72	3.50	omiss
35.42	3.50	false_alarm
43.42	3.50	hit
50.92	3.50	cor_rejec
57.07	3.50	hit
62.59	3.50	hit
68.11	3.50	cor_rejec
73.61	3.50	hit
79.11	3.50	cor_rejec
85.16	3.50	omiss
90.66	3.50	false_alarm
96.11	3.50	cor_rejec
101.65	3.50	hit
107.05	3.50	omiss
112.68	3.50	cor_rejec
118.08	3.50	hit
123.61	3.50	false_alarm
129.17	3.50	false_alarm
134.62	3.50	omiss
140.11	3.50	omiss
145.63	3.50	cor_rejec
151.35	3.50	hit
156.77	3.50	cor_rejec
162.30	3.50	hit
169.67	3.50	hit
177.66	3.50	omiss
184.67	3.50	false_alarm
190.14	3.50	hit
195.54	3.50	cor_rejec
200.99	3.50	hit
206.45	3.50	false_alarm
212.10	3.50	cor_rejec
219.50	3.50	false_alarm
227.47	3.50	hit
234.67	3.50	false_alarm
240.20	3.50	cor_rejec
245.67	3.50	cor_rejec
251.07	3.50	omiss
256.57	3.50	hit
262.22	3.50	cor_rejec
267.69	3.50	hit
273.09	3.50	false_alarm
278.87	3.50	hit
284.34	3.50	false_alarm
289.88	3.50	omiss
295.36	3.50	cor_rejec
300.89	3.50	false_alarm
306.36	3.50	cor_rejec
311.98	3.50	omiss
317.38	3.50	cor_rejec
323.38	3.50	omiss
328.91	3.50	hit
334.33	3.50	cor_rejec
339.81	3.50	hit
345.21	3.50	hit
353.01	3.50	cor_rejec
361.02	3.50	hit
367.12	3.50	cor_rejec
372.60	3.50	omiss
378.00	3.50	cor_rejec
383.41	3.50	omiss
388.93	3.50	omiss
394.57	3.50	cor_rejec
399.97	3.50	omiss
405.45	3.50	false_alarm
410.86	3.50	omiss
416.32	3.50	cor_rejec
421.77	3.50	cor_rejec
427.97	3.50	false_alarm
435.37	3.50	false_alarm
443.37	3.50	hit
450.42	3.50	cor_rejec
455.97	3.50	hit
461.42	3.50	omiss
466.88	3.50	cor_rejec
472.39	3.50	hit
477.94	3.50	hit
483.37	3.50	cor_rejec
488.89	3.50	omiss
494.43	3.50	cor_rejec
499.89	3.50	omiss
505.46	3.50	omiss
510.89	3.50	false_alarm
516.47	3.50	hit
521.87	3.50	cor_rejec
