onset	duration	event_type
2.02	3.50	false_alarm
7.57	3.50	omiss
13.09	3.50	cor_rejec
18.59	3.50	omiss
24.21	3.50	false_alarm
29.69	3.50	cor_rejec
35.39	3.50	hit
43.39	3.50	hit
50.89	3.50	cor_rejec
57.04	3.50	hit
62.56	3.50	cor_rejec
68.07	3.50	cor_rejec
73.57	3.50	false_alarm
79.08	3.50	omiss
85.13	3.50	false_alarm
90.61	3.50	false_alarm
96.04	3.50	hit
101.58	3.50	cor_rejec
106.98	3.50	cor_rejec
112.61	3.50	false_alarm
118.01	3.50	omiss
123.55	3.50	cor_rejec
129.10	3.50	hit
134.55	3.50	cor_rejec
140.05	3.50	omiss
145.56	3.50	cor_rejec
151.28	3.50	omiss
156.70	3.50	omiss
162.23	3.50	omiss
169.60	3.50	false_alarm
177.60	3.50	hit
184.60	3.50	cor_rejec
190.07	3.50	hit
195.47	3.50	false_alarm
200.92	3.50	cor_rejec
206.38	3.50	hit
212.04	3.50	false_alarm
219.44	3.50	hit
227.41	3.50	omiss
234.61	3.50	hit
240.15	3.50	omiss
245.62	3.50	omiss
251.02	3.50	false_alarm
256.53	3.50	omiss
262.18	3.50	omiss
267.64	3.50	hit
273.04	3.50	omiss
278.84	3.50	false_alarm
284.32	3.50	omiss
289.87	3.50	cor_rejec
295.35	3.50	false_alarm
300.89	3.50	omiss
306.36	3.50	cor_rejec
311.99	3.50	cor_rejec
317.39	3.50	hit
323.39	3.50	false_alarm
328.93	3.50	false_alarm
334.34	3.50	omiss
339.82	3.50	cor_rejec
345.22	3.50	cor_rejec
353.02	3.50	hit
361.02	3.50	false_alarm
367.12	3.50	omiss
372.61	3.50	false_alarm
378.01	3.50	cor_rejec
383.43	3.50	omiss
388.94	3.50	hit
394.58	3.50	hit
399.98	3.50	cor_rejec
405.46	3.50	cor_rejec
410.88	3.50	hit
416.33	3.50	hit
421.78	3.50	hit
427.98	3.50	false_alarm
435.38	3.50	hit
443.38	3.50	omiss
450.43	3.50	cor_rejec
455.98	3.50	cor_rejec
461.43	3.50	hit
466.88	3.50	omiss
472.40	3.50	cor_rejec
477.93	3.50	hit
483.36	3.50	cor_rejec
488.88	3.50	omiss
494.42	3.50	cor_rejec
499.87	3.50	cor_rejec
505.43	3.50	hit
510.85	3.50	omiss
516.43	3.50	cor_rejec
521.83	3.50	cor_rejec
