onset	duration	event_type
2.02	3.50	cor_rejec
7.57	3.50	omiss
13.09	3.50	cor_rejec
18.59	3.50	hit
24.20	3.50	cor_rejec
29.70	3.50	hit
35.40	3.50	false_alarm
43.40	3.50	hit
50.91	3.50	cor_rejec
57.06	3.50	omiss
62.57	3.50	omiss
68.09	3.50	cor_rejec
73.59	3.50	hit
79.09	3.50	false_alarm
85.14	3.50	hit
90.62	3.50	cor_rejec
96.06	3.50	cor_rejec
101.59	3.50	omiss
106.99	3.50	omiss
112.63	3.50	cor_rejec
118.03	3.50	hit
123.56	3.50	cor_rejec
129.11	3.50	cor_rejec
134.56	3.50	hit
140.04	3.50	hit
145.56	3.50	cor_rejec
151.28	3.50	omiss
156.70	3.50	cor_rejec
162.23	3.50	omiss
169.60	3.50	omiss
177.60	3.50	omiss
184.60	3.50	false_alarm
190.06	3.50	omiss
195.47	3.50	false_alarm
200.92	3.50	omiss
206.38	3.50	false_alarm
212.03	3.50	false_alarm
219.44	3.50	cor_rejec
227.40	3.50	hit
234.60	3.50	cor_rejec
240.15	3.50	false_alarm
245.62	3.50	cor_rejec
251.02	3.50	hit
256.52	3.50	omiss
262.17	3.50	false_alarm
267.63	3.50	hit
273.04	3.50	cor_rejec
278.83	3.50	hit
284.32	3.50	cor_rejec
289.87	3.50	omiss
295.36	3.50	false_alarm
300.89	3.50	cor_rejec
306.37	3.50	cor_rejec
311.99	3.50	hit
317.39	3.50	false_alarm
323.39	3.50	hit
328.94	3.50	hit
334.35	3.50	cor_rejec
339.84	3.50	hit
345.24	3.50	hit
353.04	3.50	false_alarm
361.04	3.50	omiss
367.14	3.50	cor_rejec
372.62	3.50	omiss
378.02	3.50	cor_rejec
383.44	3.50	hit
388.96	3.50	hit
394.59	3.50	false_alarm
399.99	3.50	omiss
405.48	3.50	false_alarm
410.89	3.50	omiss
416.34	3.50	cor_rejec
421.79	3.50	false_alarm
427.99	3.50	false_alarm
435.39	3.50	false_alarm
443.39	3.50	omiss
450.44	3.50	cor_rejec
455.99	3.50	hit
461.45	3.50	omiss
466.90	3.50	cor_rejec
472.41	3.50	omiss
477.95	3.50	hit
483.38	3.50	false_alarm
488.90	3.50	omiss
494.43	3.50	cor_rejec
499.88	3.50	omiss
505.45	3.50	omiss
510.86	3.50	cor_rejec
516.45	3.50	hit
521.85	3.50	cor_rejec
