onset	duration	event_type
2.01	3.50	cor_rejec
7.56	3.50	omiss
13.09	3.50	cor_rejec
18.60	3.50	omiss
24.22	3.50	false_alarm
29.72	3.50	cor_rejec
35.43	3.50	omiss
43.43	3.50	omiss
50.93	3.50	cor_rejec
57.09	3.50	omiss
62.62	3.50	cor_rejec
68.14	3.50	cor_rejec
73.64	3.50	cor_rejec
79.14	3.50	omiss
85.19	3.50	cor_rejec
90.69	3.50	cor_rejec
96.14	3.50	hit
101.68	3.50	cor_rejec
107.08	3.50	cor_rejec
112.71	3.50	cor_rejec
118.11	3.50	hit
123.65	3.50	cor_rejec
129.20	3.50	omiss
134.65	3.50	cor_rejec
140.14	3.50	omiss
145.66	3.50	cor_rejec
151.38	3.50	hit
156.80	3.50	omiss
162.33	3.50	omiss
169.69	3.50	cor_rejec
177.68	3.50	hit
184.68	3.50	false_alarm
190.15	3.50	omiss
195.55	3.50	cor_rejec
201.00	3.50	cor_rejec
206.47	3.50	omiss
212.12	3.50	cor_rejec
219.52	3.50	omiss
227.48	3.50	hit
234.69	3.50	hit
240.22	3.50	omiss
245.69	3.50	omiss
251.09	3.50	cor_rejec
256.59	3.50	omiss
262.24	3.50	omiss
267.70	3.50	omiss
273.10	3.50	hit
278.89	3.50	cor_rejec
284.36	3.50	omiss
289.89	3.50	cor_rejec
295.37	3.50	cor_rejec
300.91	3.50	hit
306.37	3.50	cor_rejec
311.99	3.50	cor_rejec
317.39	3.50	omiss
323.39	3.50	cor_rejec
328.93	3.50	cor_rejec
334.34	3.50	omiss
339.83	3.50	cor_rejec
345.23	3.50	cor_rejec
353.03	3.50	omiss
361.03	3.50	cor_rejec
367.13	3.50	omiss
372.61	3.50	cor_rejec
378.01	3.50	cor_rejec
383.43	3.50	omiss
388.95	3.50	hit
394.58	3.50	omiss
399.98	3.50	cor_rejec
405.47	3.50	cor_rejec
410.88	3.50	omiss
416.34	3.50	omiss
421.79	3.50	omiss
427.99	3.50	cor_rejec
435.39	3.50	omiss
443.39	3.50	omiss
450.44	3.50	cor_rejec
455.99	3.50	cor_rejec
461.44	3.50	omiss
466.89	3.50	omiss
472.40	3.50	cor_rejec
477.95	3.50	omiss
483.39	3.50	cor_rejec
488.91	3.50	omiss
494.44	3.50	cor_rejec
499.89	3.50	cor_rejec
505.48	3.50	hit
510.90	3.50	omiss
516.49	3.50	cor_rejec
521.89	3.50	cor_rejec
