onset	duration	event_type
2.02	3.50	cor_rejec
7.57	3.50	omiss
13.09	3.50	false_alarm
18.59	3.50	hit
24.21	3.50	cor_rejec
29.70	3.50	omiss
35.41	3.50	false_alarm
43.41	3.50	hit
50.91	3.50	cor_rejec
57.06	3.50	hit
62.58	3.50	omiss
68.09	3.50	cor_rejec
73.59	3.50	omiss
79.10	3.50	cor_rejec
85.15	3.50	hit
90.64	3.50	false_alarm
96.09	3.50	cor_rejec
101.63	3.50	hit
107.03	3.50	omiss
112.67	3.50	cor_rejec
118.07	3.50	hit
123.60	3.50	false_alarm
129.15	3.50	false_alarm
134.60	3.50	hit
140.09	3.50	hit
145.61	3.50	false_alarm
151.33	3.50	omiss
156.75	3.50	cor_rejec
162.29	3.50	hit
169.65	3.50	hit
177.65	3.50	hit
184.66	3.50	cor_rejec
190.13	3.50	hit
195.53	3.50	cor_rejec
200.98	3.50	hit
206.45	3.50	cor_rejec
212.10	3.50	false_alarm
219.50	3.50	cor_rejec
227.46	3.50	hit
234.67	3.50	cor_rejec
240.21	3.50	cor_rejec
245.68	3.50	cor_rejec
251.08	3.50	hit
256.58	3.50	hit
262.23	3.50	cor_rejec
267.70	3.50	hit
273.10	3.50	cor_rejec
278.90	3.50	hit
284.37	3.50	cor_rejec
289.90	3.50	omiss
295.39	3.50	false_alarm
300.92	3.50	cor_rejec
306.39	3.50	false_alarm
312.00	3.50	hit
317.40	3.50	false_alarm
323.40	3.50	hit
328.94	3.50	hit
334.35	3.50	false_alarm
339.84	3.50	omiss
345.24	3.50	hit
353.04	3.50	cor_rejec
361.04	3.50	hit
367.14	3.50	cor_rejec
372.62	3.50	omiss
378.02	3.50	cor_rejec
383.44	3.50	hit
388.96	3.50	hit
394.59	3.50	cor_rejec
399.99	3.50	hit
405.48	3.50	false_alarm
410.89	3.50	omiss
416.34	3.50	cor_rejec
421.80	3.50	cor_rejec
428.00	3.50	cor_rejec
435.40	3.50	false_alarm
443.40	3.50	hit
450.45	3.50	cor_rejec
456.00	3.50	hit
461.45	3.50	hit
466.90	3.50	cor_rejec
472.41	3.50	hit
477.96	3.50	omiss
483.40	3.50	cor_rejec
488.92	3.50	omiss
494.45	3.50	cor_rejec
499.90	3.50	omiss
505.47	3.50	omiss
510.88	3.50	cor_rejec
516.47	3.50	hit
521.87	3.50	cor_rejec
