onset	duration	event_type
2.01	3.50	hit
7.56	3.50	cor_rejec
13.08	3.50	hit
18.58	3.50	cor_rejec
24.19	3.50	hit
29.69	3.50	hit
35.40	3.50	cor_rejec
43.40	3.50	cor_rejec
50.90	3.50	hit
57.05	3.50	cor_rejec
62.56	3.50	hit
68.08	3.50	hit
73.58	3.50	hit
79.08	3.50	cor_rejec
85.13	3.50	hit
90.63	3.50	hit
96.08	3.50	cor_rejec
101.61	3.50	hit
107.01	3.50	hit
112.65	3.50	hit
118.05	3.50	cor_rejec
123.59	3.50	omiss
129.15	3.50	cor_rejec
134.60	3.50	omiss
140.09	3.50	cor_rejec
145.61	3.50	hit
151.33	3.50	cor_rejec
156.76	3.50	cor_rejec
162.29	3.50	cor_rejec
169.66	3.50	hit
177.66	3.50	cor_rejec
184.67	3.50	hit
190.13	3.50	cor_rejec
195.53	3.50	omiss
200.98	3.50	hit
206.45	3.50	cor_rejec
212.10	3.50	hit
219.50	3.50	cor_rejec
227.47	3.50	cor_rejec
234.67	3.50	cor_rejec
240.21	3.50	cor_rejec
245.69	3.50	false_alarm
251.09	3.50	omiss
256.59	3.50	cor_rejec
262.24	3.50	cor_rejec
267.70	3.50	cor_rejec
273.10	3.50	cor_rejec
278.89	3.50	hit
284.35	3.50	cor_rejec
289.90	3.50	omiss
295.39	3.50	hit
300.92	3.50	cor_rejec
306.39	3.50	hit
312.01	3.50	hit
317.41	3.50	cor_rejec
323.41	3.50	omiss
328.94	3.50	hit
334.36	3.50	cor_rejec
339.84	3.50	omiss
345.24	3.50	hit
353.04	3.50	false_alarm
361.04	3.50	omiss
367.14	3.50	cor_rejec
372.63	3.50	hit
378.03	3.50	hit
383.44	3.50	cor_rejec
388.96	3.50	cor_rejec
394.60	3.50	cor_rejec
400.00	3.50	omiss
405.48	3.50	omiss
410.89	3.50	cor_rejec
416.35	3.50	cor_rejec
421.80	3.50	cor_rejec
428.00	3.50	hit
435.40	3.50	cor_rejec
443.40	3.50	cor_rejec
450.45	3.50	hit
456.00	3.50	hit
461.45	3.50	false_alarm
466.90	3.50	cor_rejec
472.42	3.50	hit
477.97	3.50	cor_rejec
483.40	3.50	hit
488.92	3.50	cor_rejec
494.46	3.50	omiss
499.91	3.50	hit
505.47	3.50	cor_rejec
510.88	3.50	cor_rejec
516.47	3.50	omiss
521.87	3.50	hit
