onset	duration	event_type
2.04	3.50	omiss
7.58	3.50	cor_rejec
13.12	3.50	hit
18.63	3.50	cor_rejec
24.25	3.50	hit
29.74	3.50	cor_rejec
35.44	3.50	hit
43.44	3.50	cor_rejec
50.94	3.50	hit
57.09	3.50	cor_rejec
62.61	3.50	cor_rejec
68.13	3.50	hit
73.63	3.50	false_alarm
79.13	3.50	hit
85.18	3.50	cor_rejec
90.68	3.50	hit
96.13	3.50	hit
101.66	3.50	cor_rejec
107.06	3.50	cor_rejec
112.70	3.50	hit
118.10	3.50	false_alarm
123.63	3.50	hit
129.18	3.50	hit
134.63	3.50	cor_rejec
140.12	3.50	cor_rejec
145.63	3.50	hit
151.35	3.50	cor_rejec
156.77	3.50	omiss
162.30	3.50	cor_rejec
169.67	3.50	cor_rejec
177.65	3.50	cor_rejec
184.65	3.50	hit
190.12	3.50	cor_rejec
195.52	3.50	hit
200.97	3.50	cor_rejec
206.44	3.50	hit
212.09	3.50	hit
219.49	3.50	hit
227.45	3.50	cor_rejec
234.66	3.50	omiss
240.19	3.50	omiss
245.66	3.50	omiss
251.06	3.50	cor_rejec
256.56	3.50	cor_rejec
262.21	3.50	hit
267.67	3.50	cor_rejec
273.08	3.50	hit
278.86	3.50	cor_rejec
284.33	3.50	hit
289.87	3.50	cor_rejec
295.36	3.50	hit
300.90	3.50	hit
306.36	3.50	hit
311.98	3.50	cor_rejec
317.38	3.50	omiss
323.38	3.50	cor_rejec
328.93	3.50	cor_rejec
334.35	3.50	omiss
339.83	3.50	cor_rejec
345.23	3.50	cor_rejec
353.03	3.50	hit
361.03	3.50	cor_rejec
367.13	3.50	hit
372.62	3.50	cor_rejec
378.02	3.50	hit
383.43	3.50	cor_rejec
388.95	3.50	cor_rejec
394.59	3.50	hit
399.99	3.50	cor_rejec
405.47	3.50	hit
410.88	3.50	cor_rejec
416.34	3.50	omiss
421.79	3.50	hit
427.99	3.50	hit
435.39	3.50	omiss
443.39	3.50	cor_rejec
450.45	3.50	omiss
456.00	3.50	cor_rejec
461.45	3.50	cor_rejec
466.90	3.50	hit
472.42	3.50	cor_rejec
477.96	3.50	cor_rejec
483.40	3.50	omiss
488.92	3.50	cor_rejec
494.45	3.50	omiss
499.90	3.50	cor_rejec
505.47	3.50	false_alarm
510.88	3.50	hit
516.47	3.50	cor_rejec
521.87	3.50	hit
