onset	duration	event_type
2.04	3.50	hit
7.58	3.50	cor_rejec
13.12	3.50	hit
18.63	3.50	false_alarm
24.25	3.50	hit
29.74	3.50	false_alarm
35.44	3.50	hit
43.45	3.50	cor_rejec
50.95	3.50	omiss
57.10	3.50	cor_rejec
62.63	3.50	cor_rejec
68.15	3.50	hit
73.65	3.50	false_alarm
79.15	3.50	hit
85.21	3.50	cor_rejec
90.70	3.50	hit
96.15	3.50	hit
101.69	3.50	cor_rejec
107.09	3.50	cor_rejec
112.72	3.50	hit
118.12	3.50	false_alarm
123.66	3.50	hit
129.21	3.50	hit
134.66	3.50	cor_rejec
140.15	3.50	cor_rejec
145.68	3.50	hit
151.39	3.50	cor_rejec
156.81	3.50	hit
162.34	3.50	false_alarm
169.71	3.50	cor_rejec
177.71	3.50	cor_rejec
184.71	3.50	omiss
190.18	3.50	cor_rejec
195.58	3.50	omiss
201.03	3.50	false_alarm
206.50	3.50	omiss
212.15	3.50	hit
219.55	3.50	hit
227.51	3.50	cor_rejec
234.71	3.50	hit
240.25	3.50	hit
245.71	3.50	hit
251.11	3.50	cor_rejec
256.62	3.50	false_alarm
262.27	3.50	omiss
267.73	3.50	cor_rejec
273.13	3.50	hit
278.92	3.50	cor_rejec
284.38	3.50	hit
289.92	3.50	cor_rejec
295.40	3.50	hit
300.94	3.50	omiss
306.40	3.50	hit
312.02	3.50	cor_rejec
317.42	3.50	hit
323.42	3.50	cor_rejec
328.96	3.50	cor_rejec
334.37	3.50	hit
339.86	3.50	cor_rejec
345.26	3.50	cor_rejec
353.06	3.50	hit
361.06	3.50	false_alarm
367.16	3.50	omiss
372.64	3.50	cor_rejec
378.04	3.50	hit
383.46	3.50	cor_rejec
388.97	3.50	cor_rejec
394.61	3.50	hit
400.01	3.50	false_alarm
405.50	3.50	hit
410.91	3.50	false_alarm
416.36	3.50	omiss
421.81	3.50	hit
428.02	3.50	hit
435.42	3.50	hit
443.42	3.50	cor_rejec
450.47	3.50	omiss
456.02	3.50	cor_rejec
461.47	3.50	cor_rejec
466.92	3.50	hit
472.44	3.50	cor_rejec
477.98	3.50	cor_rejec
483.41	3.50	omiss
488.93	3.50	cor_rejec
494.46	3.50	hit
499.91	3.50	cor_rejec
505.49	3.50	false_alarm
510.91	3.50	omiss
516.50	3.50	false_alarm
521.90	3.50	hit
