onset	duration	event_type
2.01	3.50	omiss
7.56	3.50	cor_rejec
13.08	3.50	hit
18.58	3.50	cor_rejec
24.19	3.50	hit
29.69	3.50	cor_rejec
35.40	3.50	hit
43.40	3.50	cor_rejec
50.90	3.50	omiss
57.05	3.50	cor_rejec
62.57	3.50	cor_rejec
68.09	3.50	hit
73.59	3.50	cor_rejec
79.10	3.50	hit
85.15	3.50	cor_rejec
90.65	3.50	hit
96.09	3.50	hit
101.63	3.50	cor_rejec
107.03	3.50	cor_rejec
112.66	3.50	hit
118.06	3.50	cor_rejec
123.60	3.50	hit
129.15	3.50	hit
134.60	3.50	cor_rejec
140.09	3.50	cor_rejec
145.61	3.50	hit
151.33	3.50	cor_rejec
156.75	3.50	omiss
162.28	3.50	cor_rejec
169.64	3.50	cor_rejec
177.64	3.50	cor_rejec
184.65	3.50	hit
190.12	3.50	cor_rejec
195.52	3.50	hit
200.97	3.50	cor_rejec
206.43	3.50	hit
212.08	3.50	hit
219.48	3.50	hit
227.45	3.50	cor_rejec
234.65	3.50	omiss
240.19	3.50	hit
245.65	3.50	hit
251.05	3.50	cor_rejec
256.55	3.50	false_alarm
262.20	3.50	hit
267.67	3.50	cor_rejec
273.07	3.50	hit
278.85	3.50	cor_rejec
284.32	3.50	hit
289.85	3.50	cor_rejec
295.34	3.50	hit
300.87	3.50	omiss
306.34	3.50	hit
311.96	3.50	cor_rejec
317.36	3.50	hit
323.36	3.50	cor_rejec
328.89	3.50	cor_rejec
334.31	3.50	hit
339.79	3.50	cor_rejec
345.19	3.50	cor_rejec
352.99	3.50	hit
360.99	3.50	false_alarm
367.09	3.50	omiss
372.58	3.50	cor_rejec
377.98	3.50	omiss
383.40	3.50	cor_rejec
388.91	3.50	cor_rejec
394.55	3.50	hit
399.95	3.50	cor_rejec
405.43	3.50	hit
410.85	3.50	cor_rejec
416.30	3.50	hit
421.75	3.50	omiss
427.95	3.50	hit
435.35	3.50	hit
443.35	3.50	cor_rejec
450.40	3.50	hit
455.95	3.50	cor_rejec
461.40	3.50	cor_rejec
466.85	3.50	hit
472.37	3.50	false_alarm
477.92	3.50	cor_rejec
483.36	3.50	hit
488.87	3.50	cor_rejec
494.41	3.50	omiss
499.86	3.50	cor_rejec
505.43	3.50	cor_rejec
510.86	3.50	hit
516.44	3.50	cor_rejec
521.84	3.50	hit
