onset	duration	event_type
2.02	3.50	cor_rejec
7.57	3.50	omiss
13.08	3.50	cor_rejec
18.58	3.50	hit
24.20	3.50	cor_rejec
29.70	3.50	hit
35.40	3.50	cor_rejec
43.40	3.50	omiss
50.90	3.50	cor_rejec
57.05	3.50	hit
62.57	3.50	omiss
68.09	3.50	cor_rejec
73.59	3.50	hit
79.09	3.50	cor_rejec
85.14	3.50	omiss
90.63	3.50	cor_rejec
96.09	3.50	cor_rejec
101.63	3.50	hit
107.03	3.50	omiss
112.66	3.50	cor_rejec
118.06	3.50	omiss
123.59	3.50	cor_rejec
129.14	3.50	false_alarm
134.59	3.50	omiss
140.09	3.50	omiss
145.60	3.50	cor_rejec
151.32	3.50	omiss
156.75	3.50	cor_rejec
162.29	3.50	hit
169.65	3.50	hit
177.66	3.50	omiss
184.66	3.50	cor_rejec
190.12	3.50	hit
195.52	3.50	cor_rejec
200.97	3.50	hit
206.43	3.50	cor_rejec
212.09	3.50	false_alarm
219.49	3.50	cor_rejec
227.46	3.50	hit
234.66	3.50	cor_rejec
240.20	3.50	cor_rejec
245.68	3.50	cor_rejec
251.08	3.50	hit
256.58	3.50	hit
262.23	3.50	false_alarm
267.69	3.50	omiss
273.10	3.50	cor_rejec
278.89	3.50	hit
284.36	3.50	cor_rejec
289.90	3.50	hit
295.38	3.50	cor_rejec
300.91	3.50	cor_rejec
306.38	3.50	cor_rejec
312.00	3.50	omiss
317.40	3.50	cor_rejec
323.40	3.50	omiss
328.93	3.50	hit
334.35	3.50	cor_rejec
339.83	3.50	hit
345.23	3.50	omiss
353.03	3.50	cor_rejec
361.03	3.50	hit
367.13	3.50	cor_rejec
372.62	3.50	hit
378.02	3.50	cor_rejec
383.43	3.50	omiss
388.94	3.50	omiss
394.57	3.50	cor_rejec
399.97	3.50	omiss
405.45	3.50	cor_rejec
410.87	3.50	omiss
416.32	3.50	cor_rejec
421.77	3.50	cor_rejec
427.97	3.50	false_alarm
435.37	3.50	false_alarm
443.37	3.50	hit
450.42	3.50	cor_rejec
455.98	3.50	hit
461.43	3.50	omiss
466.88	3.50	cor_rejec
472.39	3.50	hit
477.94	3.50	omiss
483.38	3.50	cor_rejec
488.89	3.50	hit
494.43	3.50	cor_rejec
499.88	3.50	omiss
505.45	3.50	omiss
510.86	3.50	false_alarm
516.45	3.50	omiss
521.85	3.50	cor_rejec
