onset	duration	event_type
2.04	3.50	hit
7.58	3.50	cor_rejec
13.11	3.50	hit
18.62	3.50	false_alarm
24.24	3.50	hit
29.74	3.50	omiss
35.45	3.50	cor_rejec
43.45	3.50	cor_rejec
50.95	3.50	hit
57.10	3.50	false_alarm
62.62	3.50	omiss
68.14	3.50	omiss
73.64	3.50	omiss
79.14	3.50	cor_rejec
85.19	3.50	hit
90.68	3.50	hit
96.13	3.50	cor_rejec
101.67	3.50	omiss
107.07	3.50	omiss
112.70	3.50	hit
118.11	3.50	cor_rejec
123.64	3.50	hit
129.19	3.50	cor_rejec
134.64	3.50	omiss
140.12	3.50	cor_rejec
145.64	3.50	hit
151.36	3.50	cor_rejec
156.77	3.50	cor_rejec
162.31	3.50	false_alarm
169.67	3.50	hit
177.66	3.50	cor_rejec
184.66	3.50	hit
190.13	3.50	cor_rejec
195.53	3.50	omiss
200.98	3.50	omiss
206.44	3.50	cor_rejec
212.09	3.50	omiss
219.49	3.50	cor_rejec
227.46	3.50	cor_rejec
234.66	3.50	cor_rejec
240.20	3.50	cor_rejec
245.66	3.50	cor_rejec
251.06	3.50	omiss
256.57	3.50	cor_rejec
262.22	3.50	cor_rejec
267.68	3.50	cor_rejec
273.08	3.50	cor_rejec
278.87	3.50	hit
284.33	3.50	cor_rejec
289.88	3.50	omiss
295.37	3.50	hit
300.90	3.50	cor_rejec
306.37	3.50	hit
311.98	3.50	hit
317.39	3.50	cor_rejec
323.39	3.50	hit
328.93	3.50	omiss
334.35	3.50	cor_rejec
339.84	3.50	hit
345.24	3.50	omiss
353.04	3.50	cor_rejec
361.04	3.50	omiss
367.14	3.50	cor_rejec
372.63	3.50	omiss
378.03	3.50	omiss
383.44	3.50	cor_rejec
388.95	3.50	false_alarm
394.59	3.50	cor_rejec
399.99	3.50	omiss
405.48	3.50	hit
410.89	3.50	false_alarm
416.35	3.50	cor_rejec
421.80	3.50	cor_rejec
428.00	3.50	omiss
435.41	3.50	cor_rejec
443.41	3.50	cor_rejec
450.46	3.50	omiss
456.01	3.50	hit
461.46	3.50	false_alarm
466.91	3.50	cor_rejec
472.43	3.50	omiss
477.97	3.50	cor_rejec
483.41	3.50	hit
488.93	3.50	cor_rejec
494.46	3.50	hit
499.91	3.50	hit
505.48	3.50	cor_rejec
510.89	3.50	cor_rejec
516.48	3.50	omiss
521.88	3.50	hit
