onset	duration	event_type
2.03	3.50	hit
7.58	3.50	cor_rejec
13.11	3.50	hit
18.61	3.50	false_alarm
24.23	3.50	omiss
29.73	3.50	false_alarm
35.44	3.50	omiss
43.44	3.50	cor_rejec
50.94	3.50	omiss
57.09	3.50	cor_rejec
62.62	3.50	false_alarm
68.14	3.50	hit
73.64	3.50	false_alarm
79.14	3.50	hit
85.19	3.50	cor_rejec
90.69	3.50	omiss
96.14	3.50	omiss
101.68	3.50	cor_rejec
107.08	3.50	cor_rejec
112.71	3.50	hit
118.11	3.50	cor_rejec
123.65	3.50	omiss
129.20	3.50	hit
134.65	3.50	cor_rejec
140.14	3.50	false_alarm
145.66	3.50	hit
151.38	3.50	cor_rejec
156.80	3.50	omiss
162.33	3.50	cor_rejec
169.70	3.50	cor_rejec
177.70	3.50	cor_rejec
184.70	3.50	omiss
190.17	3.50	cor_rejec
195.57	3.50	omiss
201.02	3.50	cor_rejec
206.48	3.50	hit
212.13	3.50	hit
219.54	3.50	hit
227.50	3.50	cor_rejec
234.70	3.50	hit
240.24	3.50	hit
245.70	3.50	hit
251.10	3.50	cor_rejec
256.60	3.50	false_alarm
262.26	3.50	hit
267.72	3.50	cor_rejec
273.12	3.50	hit
278.91	3.50	cor_rejec
284.37	3.50	omiss
289.91	3.50	cor_rejec
295.39	3.50	hit
300.93	3.50	omiss
306.39	3.50	hit
312.01	3.50	cor_rejec
317.41	3.50	omiss
323.41	3.50	cor_rejec
328.96	3.50	cor_rejec
334.38	3.50	omiss
339.86	3.50	cor_rejec
345.26	3.50	cor_rejec
353.06	3.50	hit
361.06	3.50	cor_rejec
367.17	3.50	omiss
372.65	3.50	cor_rejec
378.05	3.50	hit
383.46	3.50	cor_rejec
388.98	3.50	cor_rejec
394.62	3.50	hit
400.02	3.50	cor_rejec
405.50	3.50	omiss
410.91	3.50	cor_rejec
416.37	3.50	omiss
421.82	3.50	omiss
428.02	3.50	hit
435.42	3.50	omiss
443.42	3.50	cor_rejec
450.47	3.50	omiss
456.02	3.50	cor_rejec
461.48	3.50	cor_rejec
466.93	3.50	omiss
472.45	3.50	cor_rejec
477.99	3.50	cor_rejec
483.43	3.50	omiss
488.94	3.50	cor_rejec
494.48	3.50	hit
499.93	3.50	cor_rejec
505.50	3.50	cor_rejec
510.92	3.50	hit
516.50	3.50	cor_rejec
521.90	3.50	omiss
