onset	duration	event_type
2.02	3.50	miss
7.57	3.50	cor_rejec
13.09	3.50	omiss
18.59	3.50	false_alarm
24.21	3.50	hit
29.70	3.50	hit
35.41	3.50	cor_rejec
43.41	3.50	miss
50.91	3.50	hit
57.06	3.50	false_alarm
62.58	3.50	hit
68.09	3.50	omiss
73.59	3.50	omiss
79.09	3.50	cor_rejec
85.14	3.50	hit
90.64	3.50	hit
96.09	3.50	cor_rejec
101.63	3.50	hit
107.03	3.50	omiss
112.66	3.50	hit
118.06	3.50	cor_rejec
123.60	3.50	hit
129.15	3.50	cor_rejec
134.60	3.50	omiss
140.09	3.50	cor_rejec
145.61	3.50	hit
151.33	3.50	false_alarm
156.75	3.50	false_alarm
162.29	3.50	cor_rejec
169.65	3.50	miss
177.64	3.50	false_alarm
184.64	3.50	hit
190.11	3.50	cor_rejec
195.51	3.50	hit
200.96	3.50	omiss
206.43	3.50	cor_rejec
212.08	3.50	hit
219.48	3.50	cor_rejec
227.45	3.50	cor_rejec
234.65	3.50	false_alarm
240.19	3.50	false_alarm
245.66	3.50	false_alarm
251.06	3.50	hit
256.56	3.50	false_alarm
262.22	3.50	cor_rejec
267.68	3.50	cor_rejec
273.08	3.50	false_alarm
278.88	3.50	hit
284.35	3.50	cor_rejec
289.88	3.50	hit
295.37	3.50	omiss
300.90	3.50	cor_rejec
306.37	3.50	hit
311.98	3.50	hit
317.39	3.50	false_alarm
323.39	3.50	hit
328.92	3.50	hit
334.34	3.50	cor_rejec
339.82	3.50	omiss
345.22	3.50	hit
353.02	3.50	cor_rejec
361.02	3.50	hit
367.12	3.50	false_alarm
372.61	3.50	hit
378.01	3.50	hit
383.42	3.50	false_alarm
388.94	3.50	false_alarm
394.57	3.50	cor_rejec
399.97	3.50	hit
405.46	3.50	omiss
410.87	3.50	false_alarm
416.33	3.50	false_alarm
421.78	3.50	cor_rejec
427.98	3.50	hit
435.38	3.50	false_alarm
443.38	3.50	cor_rejec
450.43	3.50	omiss
455.98	3.50	hit
461.43	3.50	false_alarm
466.88	3.50	cor_rejec
472.39	3.50	hit
477.94	3.50	cor_rejec
483.38	3.50	hit
488.90	3.50	false_alarm
494.43	3.50	omiss
499.88	3.50	hit
505.46	3.50	cor_rejec
510.88	3.50	cor_rejec
516.47	3.50	hit
521.87	3.50	omiss
