onset	duration	event_type
2.02	3.50	omiss
7.55	3.50	false_alarm
13.07	3.50	hit
18.57	3.50	false_alarm
24.18	3.50	hit
29.67	3.50	false_alarm
35.37	3.50	hit
43.37	3.50	cor_rejec
50.87	3.50	hit
57.02	3.50	false_alarm
62.54	3.50	cor_rejec
68.05	3.50	hit
73.55	3.50	false_alarm
79.06	3.50	miss
85.11	3.50	cor_rejec
90.59	3.50	hit
96.02	3.50	omiss
101.56	3.50	false_alarm
106.96	3.50	cor_rejec
112.59	3.50	hit
117.99	3.50	cor_rejec
123.53	3.50	omiss
129.08	3.50	hit
134.53	3.50	false_alarm
140.02	3.50	false_alarm
145.54	3.50	omiss
151.26	3.50	cor_rejec
156.69	3.50	hit
162.23	3.50	false_alarm
169.59	3.50	cor_rejec
177.59	3.50	false_alarm
184.60	3.50	hit
190.06	3.50	false_alarm
195.47	3.50	omiss
200.92	3.50	false_alarm
206.38	3.50	hit
212.03	3.50	hit
219.44	3.50	hit
227.40	3.50	false_alarm
234.60	3.50	omiss
240.15	3.50	hit
245.61	3.50	omiss
251.01	3.50	cor_rejec
256.51	3.50	false_alarm
262.16	3.50	miss
267.63	3.50	false_alarm
273.03	3.50	hit
278.82	3.50	cor_rejec
284.31	3.50	omiss
289.86	3.50	cor_rejec
295.35	3.50	hit
300.88	3.50	hit
306.35	3.50	hit
311.97	3.50	false_alarm
317.37	3.50	hit
323.37	3.50	cor_rejec
328.91	3.50	cor_rejec
334.33	3.50	hit
339.82	3.50	cor_rejec
345.22	3.50	cor_rejec
353.02	3.50	omiss
361.02	3.50	false_alarm
367.12	3.50	hit
372.60	3.50	cor_rejec
378.00	3.50	omiss
383.42	3.50	cor_rejec
388.94	3.50	miss
394.57	3.50	hit
399.97	3.50	cor_rejec
405.46	3.50	hit
410.87	3.50	cor_rejec
416.32	3.50	hit
421.77	3.50	hit
427.97	3.50	hit
435.37	3.50	hit
443.37	3.50	cor_rejec
450.42	3.50	omiss
455.97	3.50	cor_rejec
461.43	3.50	cor_rejec
466.88	3.50	hit
472.39	3.50	cor_rejec
477.93	3.50	cor_rejec
483.36	3.50	hit
488.88	3.50	cor_rejec
494.41	3.50	hit
499.86	3.50	cor_rejec
505.43	3.50	false_alarm
510.85	3.50	hit
516.43	3.50	false_alarm
521.83	3.50	omiss
