onset	duration	event_type
2.01	3.50	cor_rejec
7.55	3.50	omiss
13.06	3.50	cor_rejec
18.56	3.50	hit
24.18	3.50	cor_rejec
29.67	3.50	cor_rejec
35.37	3.50	hit
43.37	3.50	omiss
50.87	3.50	cor_rejec
57.02	3.50	hit
62.53	3.50	cor_rejec
68.05	3.50	cor_rejec
73.55	3.50	cor_rejec
79.05	3.50	hit
85.10	3.50	cor_rejec
90.60	3.50	cor_rejec
96.04	3.50	omiss
101.57	3.50	cor_rejec
106.97	3.50	cor_rejec
112.61	3.50	cor_rejec
118.01	3.50	omiss
123.54	3.50	cor_rejec
129.09	3.50	hit
134.54	3.50	cor_rejec
140.04	3.50	omiss
145.55	3.50	cor_rejec
151.27	3.50	hit
156.69	3.50	hit
162.23	3.50	omiss
169.59	3.50	cor_rejec
177.59	3.50	hit
184.60	3.50	cor_rejec
190.06	3.50	omiss
195.46	3.50	cor_rejec
200.91	3.50	cor_rejec
206.38	3.50	hit
212.03	3.50	false_alarm
219.43	3.50	omiss
227.40	3.50	hit
234.60	3.50	omiss
240.15	3.50	hit
245.62	3.50	hit
251.02	3.50	cor_rejec
256.53	3.50	hit
262.19	3.50	omiss
267.66	3.50	omiss
273.06	3.50	omiss
278.86	3.50	cor_rejec
284.33	3.50	omiss
289.87	3.50	cor_rejec
295.36	3.50	cor_rejec
300.90	3.50	hit
306.36	3.50	cor_rejec
311.98	3.50	cor_rejec
317.38	3.50	omiss
323.38	3.50	cor_rejec
328.93	3.50	cor_rejec
334.34	3.50	omiss
339.83	3.50	cor_rejec
345.23	3.50	cor_rejec
353.03	3.50	omiss
361.03	3.50	cor_rejec
367.13	3.50	omiss
372.62	3.50	false_alarm
378.02	3.50	cor_rejec
383.43	3.50	hit
388.95	3.50	hit
394.59	3.50	hit
399.99	3.50	cor_rejec
405.47	3.50	cor_rejec
410.89	3.50	omiss
416.34	3.50	hit
421.79	3.50	omiss
427.99	3.50	cor_rejec
435.39	3.50	hit
443.39	3.50	omiss
450.44	3.50	cor_rejec
455.99	3.50	cor_rejec
461.44	3.50	omiss
466.89	3.50	omiss
472.41	3.50	cor_rejec
477.94	3.50	omiss
483.37	3.50	cor_rejec
488.89	3.50	hit
494.43	3.50	cor_rejec
499.88	3.50	false_alarm
505.44	3.50	hit
510.86	3.50	hit
516.44	3.50	cor_rejec
521.85	3.50	cor_rejec
