onset	duration	event_type
2.02	3.50	cor_rejec
7.55	3.50	omiss
13.07	3.50	cor_rejec
18.57	3.50	omiss
24.18	3.50	false_alarm
29.67	3.50	cor_rejec
35.37	3.50	hit
43.37	3.50	hit
50.87	3.50	cor_rejec
57.02	3.50	hit
62.54	3.50	cor_rejec
68.05	3.50	cor_rejec
73.55	3.50	cor_rejec
79.05	3.50	omiss
85.10	3.50	false_alarm
90.59	3.50	cor_rejec
96.02	3.50	omiss
101.56	3.50	cor_rejec
106.96	3.50	false_alarm
112.59	3.50	false_alarm
117.99	3.50	hit
123.53	3.50	cor_rejec
129.08	3.50	omiss
134.53	3.50	cor_rejec
140.01	3.50	hit
145.53	3.50	cor_rejec
151.24	3.50	hit
156.66	3.50	omiss
162.20	3.50	omiss
169.56	3.50	cor_rejec
177.56	3.50	hit
184.56	3.50	false_alarm
190.03	3.50	hit
195.43	3.50	cor_rejec
200.88	3.50	false_alarm
206.34	3.50	hit
212.00	3.50	cor_rejec
219.40	3.50	hit
227.36	3.50	hit
234.57	3.50	omiss
240.11	3.50	omiss
245.58	3.50	hit
250.99	3.50	cor_rejec
256.49	3.50	hit
262.14	3.50	hit
267.60	3.50	omiss
273.01	3.50	omiss
278.80	3.50	cor_rejec
284.27	3.50	hit
289.82	3.50	cor_rejec
295.30	3.50	cor_rejec
300.83	3.50	omiss
306.31	3.50	false_alarm
311.93	3.50	cor_rejec
317.33	3.50	hit
323.33	3.50	false_alarm
328.88	3.50	cor_rejec
334.30	3.50	hit
339.78	3.50	cor_rejec
345.19	3.50	cor_rejec
352.99	3.50	hit
360.99	3.50	cor_rejec
367.09	3.50	hit
372.57	3.50	false_alarm
377.97	3.50	cor_rejec
383.39	3.50	hit
388.90	3.50	omiss
394.54	3.50	hit
399.94	3.50	cor_rejec
405.42	3.50	cor_rejec
410.84	3.50	hit
416.29	3.50	hit
421.74	3.50	hit
427.94	3.50	cor_rejec
435.34	3.50	hit
443.34	3.50	omiss
450.39	3.50	cor_rejec
455.94	3.50	false_alarm
461.39	3.50	omiss
466.84	3.50	hit
472.36	3.50	cor_rejec
477.89	3.50	hit
483.33	3.50	cor_rejec
488.84	3.50	omiss
494.38	3.50	cor_rejec
499.83	3.50	false_alarm
505.39	3.50	omiss
510.81	3.50	omiss
516.40	3.50	cor_rejec
521.80	3.50	cor_rejec
