onset	duration	event_type
2.01	3.50	hit
7.56	3.50	cor_rejec
13.08	3.50	hit
18.58	3.50	false_alarm
24.20	3.50	hit
29.69	3.50	hit
35.40	3.50	cor_rejec
43.40	3.50	cor_rejec
50.90	3.50	hit
57.05	3.50	false_alarm
62.57	3.50	hit
68.08	3.50	hit
73.58	3.50	hit
79.08	3.50	cor_rejec
85.13	3.50	hit
90.62	3.50	hit
96.05	3.50	cor_rejec
101.58	3.50	hit
106.99	3.50	omiss
112.62	3.50	omiss
118.02	3.50	cor_rejec
123.55	3.50	hit
129.10	3.50	cor_rejec
134.55	3.50	omiss
140.04	3.50	cor_rejec
145.55	3.50	hit
151.27	3.50	cor_rejec
156.69	3.50	cor_rejec
162.22	3.50	cor_rejec
169.59	3.50	hit
177.57	3.50	cor_rejec
184.57	3.50	hit
190.04	3.50	cor_rejec
195.44	3.50	hit
200.89	3.50	hit
206.36	3.50	cor_rejec
212.01	3.50	hit
219.41	3.50	cor_rejec
227.38	3.50	false_alarm
234.58	3.50	cor_rejec
240.13	3.50	false_alarm
245.60	3.50	cor_rejec
251.00	3.50	hit
256.50	3.50	false_alarm
262.15	3.50	cor_rejec
267.62	3.50	cor_rejec
273.02	3.50	cor_rejec
278.81	3.50	hit
284.28	3.50	cor_rejec
289.83	3.50	omiss
295.32	3.50	hit
300.85	3.50	cor_rejec
306.33	3.50	hit
311.95	3.50	hit
317.35	3.50	cor_rejec
323.35	3.50	hit
328.90	3.50	hit
334.31	3.50	cor_rejec
339.81	3.50	hit
345.21	3.50	omiss
353.01	3.50	cor_rejec
361.02	3.50	hit
367.12	3.50	cor_rejec
372.60	3.50	hit
378.00	3.50	omiss
383.42	3.50	cor_rejec
388.93	3.50	false_alarm
394.57	3.50	false_alarm
399.97	3.50	hit
405.45	3.50	hit
410.87	3.50	cor_rejec
416.32	3.50	cor_rejec
421.77	3.50	cor_rejec
427.97	3.50	omiss
435.37	3.50	cor_rejec
443.37	3.50	cor_rejec
450.42	3.50	hit
455.97	3.50	hit
461.42	3.50	false_alarm
466.87	3.50	cor_rejec
472.39	3.50	hit
477.94	3.50	cor_rejec
483.37	3.50	hit
488.89	3.50	false_alarm
494.42	3.50	hit
499.87	3.50	hit
505.44	3.50	cor_rejec
510.86	3.50	cor_rejec
516.44	3.50	omiss
521.84	3.50	hit
