onset	duration	event_type
2.01	3.50	omiss
7.56	3.50	cor_rejec
13.08	3.50	hit
18.58	3.50	cor_rejec
24.20	3.50	hit
29.68	3.50	omiss
35.38	3.50	false_alarm
43.38	3.50	cor_rejec
50.88	3.50	hit
57.03	3.50	false_alarm
62.55	3.50	hit
68.07	3.50	omiss
73.57	3.50	omiss
79.07	3.50	cor_rejec
85.12	3.50	hit
90.61	3.50	omiss
96.07	3.50	cor_rejec
101.60	3.50	hit
107.01	3.50	omiss
112.64	3.50	hit
118.04	3.50	cor_rejec
123.57	3.50	omiss
129.12	3.50	cor_rejec
134.57	3.50	omiss
140.07	3.50	cor_rejec
145.58	3.50	omiss
151.30	3.50	cor_rejec
156.73	3.50	cor_rejec
162.26	3.50	cor_rejec
169.62	3.50	hit
177.61	3.50	cor_rejec
184.62	3.50	hit
190.09	3.50	cor_rejec
195.49	3.50	hit
200.94	3.50	omiss
206.40	3.50	cor_rejec
212.06	3.50	hit
219.46	3.50	cor_rejec
227.42	3.50	cor_rejec
234.62	3.50	cor_rejec
240.17	3.50	cor_rejec
245.64	3.50	cor_rejec
251.04	3.50	omiss
256.54	3.50	false_alarm
262.19	3.50	cor_rejec
267.66	3.50	cor_rejec
273.06	3.50	cor_rejec
278.85	3.50	hit
284.33	3.50	cor_rejec
289.87	3.50	omiss
295.36	3.50	hit
300.89	3.50	cor_rejec
306.36	3.50	omiss
311.98	3.50	omiss
317.38	3.50	cor_rejec
323.38	3.50	hit
328.91	3.50	omiss
334.33	3.50	cor_rejec
339.81	3.50	omiss
345.21	3.50	omiss
353.01	3.50	cor_rejec
361.01	3.50	hit
367.11	3.50	false_alarm
372.60	3.50	omiss
378.00	3.50	hit
383.41	3.50	cor_rejec
388.93	3.50	cor_rejec
394.57	3.50	cor_rejec
399.97	3.50	omiss
405.45	3.50	omiss
410.87	3.50	cor_rejec
416.32	3.50	false_alarm
421.77	3.50	cor_rejec
427.97	3.50	omiss
435.37	3.50	cor_rejec
443.37	3.50	cor_rejec
450.42	3.50	omiss
455.97	3.50	hit
461.42	3.50	cor_rejec
466.87	3.50	cor_rejec
472.39	3.50	omiss
477.94	3.50	cor_rejec
483.37	3.50	omiss
488.89	3.50	cor_rejec
494.43	3.50	omiss
499.88	3.50	hit
505.44	3.50	cor_rejec
510.86	3.50	cor_rejec
516.44	3.50	omiss
521.84	3.50	omiss
