onset	duration	event_type
2.01	3.50	false_alarm
7.55	3.50	hit
13.06	3.50	cor_rejec
18.57	3.50	hit
24.18	3.50	false_alarm
29.67	3.50	hit
35.37	3.50	cor_rejec
43.37	3.50	hit
50.87	3.50	cor_rejec
57.02	3.50	hit
62.54	3.50	hit
68.05	3.50	false_alarm
73.55	3.50	hit
79.05	3.50	cor_rejec
85.10	3.50	hit
90.60	3.50	false_alarm
96.05	3.50	cor_rejec
101.59	3.50	hit
106.99	3.50	hit
112.62	3.50	cor_rejec
118.02	3.50	hit
123.56	3.50	cor_rejec
129.11	3.50	cor_rejec
134.56	3.50	omiss
140.05	3.50	hit
145.57	3.50	cor_rejec
151.29	3.50	hit
156.71	3.50	cor_rejec
162.25	3.50	hit
169.61	3.50	hit
177.61	3.50	omiss
184.61	3.50	false_alarm
190.07	3.50	hit
195.48	3.50	false_alarm
200.93	3.50	hit
206.39	3.50	false_alarm
212.05	3.50	false_alarm
219.45	3.50	cor_rejec
227.42	3.50	hit
234.63	3.50	cor_rejec
240.17	3.50	cor_rejec
245.64	3.50	false_alarm
251.04	3.50	hit
256.54	3.50	hit
262.19	3.50	cor_rejec
267.66	3.50	hit
273.06	3.50	cor_rejec
278.86	3.50	hit
284.33	3.50	miss
289.87	3.50	hit
295.36	3.50	cor_rejec
300.90	3.50	false_alarm
306.36	3.50	cor_rejec
311.98	3.50	hit
317.38	3.50	false_alarm
323.38	3.50	hit
328.93	3.50	hit
334.35	3.50	false_alarm
339.83	3.50	hit
345.23	3.50	hit
353.03	3.50	false_alarm
361.03	3.50	hit
367.13	3.50	false_alarm
372.62	3.50	hit
378.02	3.50	cor_rejec
383.43	3.50	hit
388.95	3.50	hit
394.59	3.50	cor_rejec
399.99	3.50	hit
405.47	3.50	false_alarm
410.89	3.50	omiss
416.34	3.50	cor_rejec
421.79	3.50	cor_rejec
427.99	3.50	false_alarm
435.39	3.50	false_alarm
443.39	3.50	hit
450.44	3.50	cor_rejec
455.99	3.50	hit
461.44	3.50	omiss
466.89	3.50	cor_rejec
472.41	3.50	hit
477.94	3.50	hit
483.38	3.50	cor_rejec
488.89	3.50	hit
494.43	3.50	cor_rejec
499.88	3.50	omiss
505.44	3.50	omiss
510.86	3.50	false_alarm
516.45	3.50	hit
521.85	3.50	false_alarm
