onset	duration	event_type
2.01	3.50	cor_rejec
7.54	3.50	hit
13.06	3.50	cor_rejec
18.56	3.50	hit
24.18	3.50	cor_rejec
29.66	3.50	hit
35.36	3.50	false_alarm
43.36	3.50	hit
50.86	3.50	false_alarm
57.01	3.50	hit
62.53	3.50	hit
68.04	3.50	false_alarm
73.55	3.50	omiss
79.05	3.50	cor_rejec
85.10	3.50	omiss
90.59	3.50	false_alarm
96.05	3.50	cor_rejec
101.58	3.50	hit
106.99	3.50	hit
112.62	3.50	cor_rejec
118.02	3.50	hit
123.55	3.50	cor_rejec
129.10	3.50	false_alarm
134.55	3.50	hit
140.05	3.50	omiss
145.56	3.50	cor_rejec
151.28	3.50	hit
156.71	3.50	cor_rejec
162.24	3.50	hit
169.60	3.50	omiss
177.59	3.50	omiss
184.60	3.50	cor_rejec
190.07	3.50	hit
195.47	3.50	cor_rejec
200.92	3.50	hit
206.38	3.50	cor_rejec
212.03	3.50	false_alarm
219.44	3.50	cor_rejec
227.40	3.50	omiss
234.60	3.50	cor_rejec
240.15	3.50	false_alarm
245.62	3.50	false_alarm
251.02	3.50	hit
256.52	3.50	hit
262.17	3.50	cor_rejec
267.64	3.50	hit
273.04	3.50	cor_rejec
278.83	3.50	omiss
284.31	3.50	false_alarm
289.85	3.50	omiss
295.34	3.50	false_alarm
300.87	3.50	cor_rejec
306.34	3.50	false_alarm
311.96	3.50	omiss
317.36	3.50	cor_rejec
323.36	3.50	omiss
328.89	3.50	hit
334.31	3.50	cor_rejec
339.79	3.50	omiss
345.19	3.50	omiss
352.99	3.50	cor_rejec
360.99	3.50	hit
367.09	3.50	false_alarm
372.58	3.50	omiss
377.98	3.50	cor_rejec
383.39	3.50	hit
388.91	3.50	omiss
394.55	3.50	cor_rejec
399.95	3.50	hit
405.43	3.50	cor_rejec
410.85	3.50	omiss
416.30	3.50	cor_rejec
421.75	3.50	cor_rejec
427.95	3.50	false_alarm
435.35	3.50	false_alarm
443.35	3.50	omiss
450.40	3.50	cor_rejec
455.95	3.50	omiss
461.40	3.50	omiss
466.85	3.50	cor_rejec
472.37	3.50	hit
477.92	3.50	omiss
483.35	3.50	false_alarm
488.87	3.50	hit
494.41	3.50	cor_rejec
499.86	3.50	omiss
505.42	3.50	omiss
510.84	3.50	false_alarm
516.42	3.50	omiss
521.82	3.50	cor_rejec
