onset	duration	event_type
2.05	3.50	cor_rejec
7.59	3.50	hit
13.12	3.50	cor_rejec
18.62	3.50	hit
24.25	3.50	false_alarm
29.75	3.50	false_alarm
35.45	3.50	hit
43.46	3.50	omiss
50.96	3.50	cor_rejec
57.11	3.50	hit
62.63	3.50	cor_rejec
68.16	3.50	cor_rejec
73.66	3.50	cor_rejec
79.16	3.50	hit
85.21	3.50	false_alarm
90.70	3.50	cor_rejec
96.15	3.50	hit
101.69	3.50	false_alarm
107.09	3.50	false_alarm
112.73	3.50	false_alarm
118.13	3.50	omiss
123.66	3.50	cor_rejec
129.21	3.50	hit
134.66	3.50	cor_rejec
140.16	3.50	omiss
145.68	3.50	cor_rejec
151.39	3.50	hit
156.81	3.50	hit
162.35	3.50	hit
169.71	3.50	cor_rejec
177.71	3.50	omiss
184.71	3.50	false_alarm
190.18	3.50	omiss
195.58	3.50	false_alarm
201.03	3.50	cor_rejec
206.50	3.50	omiss
212.15	3.50	false_alarm
219.55	3.50	omiss
227.52	3.50	hit
234.72	3.50	hit
240.25	3.50	hit
245.72	3.50	omiss
251.12	3.50	false_alarm
256.62	3.50	hit
262.27	3.50	omiss
267.74	3.50	omiss
273.14	3.50	omiss
278.92	3.50	cor_rejec
284.39	3.50	omiss
289.92	3.50	cor_rejec
295.41	3.50	cor_rejec
300.94	3.50	hit
306.41	3.50	false_alarm
312.02	3.50	cor_rejec
317.42	3.50	omiss
323.42	3.50	false_alarm
328.97	3.50	cor_rejec
334.39	3.50	omiss
339.88	3.50	cor_rejec
345.28	3.50	cor_rejec
353.08	3.50	hit
361.08	3.50	cor_rejec
367.18	3.50	hit
372.66	3.50	cor_rejec
378.06	3.50	false_alarm
383.47	3.50	hit
388.99	3.50	hit
394.63	3.50	hit
400.03	3.50	cor_rejec
405.52	3.50	cor_rejec
410.93	3.50	omiss
416.38	3.50	hit
421.83	3.50	omiss
428.03	3.50	cor_rejec
435.44	3.50	omiss
443.44	3.50	omiss
450.49	3.50	cor_rejec
456.04	3.50	false_alarm
461.49	3.50	omiss
466.95	3.50	omiss
472.46	3.50	cor_rejec
478.01	3.50	omiss
483.44	3.50	cor_rejec
488.95	3.50	hit
494.48	3.50	false_alarm
499.93	3.50	false_alarm
505.51	3.50	omiss
510.93	3.50	hit
516.52	3.50	cor_rejec
521.92	3.50	cor_rejec
