onset	duration	event_type
2.01	3.50	cor_rejec
7.56	3.50	omiss
13.07	3.50	cor_rejec
18.58	3.50	hit
24.19	3.50	cor_rejec
29.68	3.50	omiss
35.38	3.50	cor_rejec
43.38	3.50	omiss
50.88	3.50	cor_rejec
57.03	3.50	omiss
62.54	3.50	hit
68.06	3.50	cor_rejec
73.56	3.50	omiss
79.06	3.50	cor_rejec
85.11	3.50	omiss
90.60	3.50	cor_rejec
96.03	3.50	cor_rejec
101.56	3.50	hit
106.97	3.50	omiss
112.60	3.50	cor_rejec
118.00	3.50	omiss
123.53	3.50	cor_rejec
129.08	3.50	cor_rejec
134.53	3.50	omiss
140.03	3.50	omiss
145.55	3.50	cor_rejec
151.27	3.50	hit
156.69	3.50	cor_rejec
162.22	3.50	omiss
169.59	3.50	omiss
177.58	3.50	omiss
184.59	3.50	cor_rejec
190.05	3.50	hit
195.46	3.50	cor_rejec
200.91	3.50	omiss
206.37	3.50	cor_rejec
212.03	3.50	cor_rejec
219.43	3.50	cor_rejec
227.39	3.50	hit
234.59	3.50	cor_rejec
240.14	3.50	false_alarm
245.61	3.50	cor_rejec
251.01	3.50	omiss
256.51	3.50	omiss
262.17	3.50	cor_rejec
267.65	3.50	hit
273.05	3.50	cor_rejec
278.84	3.50	omiss
284.32	3.50	cor_rejec
289.87	3.50	hit
295.36	3.50	cor_rejec
300.89	3.50	cor_rejec
306.37	3.50	cor_rejec
311.98	3.50	omiss
317.39	3.50	cor_rejec
323.39	3.50	omiss
328.94	3.50	hit
334.36	3.50	cor_rejec
339.84	3.50	omiss
345.24	3.50	omiss
353.04	3.50	cor_rejec
361.04	3.50	hit
367.15	3.50	cor_rejec
372.63	3.50	omiss
378.03	3.50	cor_rejec
383.45	3.50	omiss
388.96	3.50	omiss
394.60	3.50	cor_rejec
400.00	3.50	omiss
405.48	3.50	cor_rejec
410.90	3.50	omiss
416.35	3.50	cor_rejec
421.80	3.50	cor_rejec
428.00	3.50	false_alarm
435.40	3.50	cor_rejec
443.40	3.50	omiss
450.45	3.50	cor_rejec
456.00	3.50	omiss
461.45	3.50	omiss
466.90	3.50	false_alarm
472.42	3.50	hit
477.95	3.50	omiss
483.39	3.50	cor_rejec
488.90	3.50	hit
494.44	3.50	cor_rejec
499.89	3.50	omiss
505.45	3.50	omiss
510.87	3.50	cor_rejec
516.45	3.50	omiss
521.85	3.50	cor_rejec
