onset	duration	event_type
2.04	3.50	hit
7.58	3.50	cor_rejec
13.12	3.50	hit
18.62	3.50	cor_rejec
24.25	3.50	hit
29.74	3.50	hit
35.44	3.50	cor_rejec
43.44	3.50	cor_rejec
50.94	3.50	hit
57.09	3.50	cor_rejec
62.61	3.50	omiss
68.13	3.50	omiss
73.63	3.50	hit
79.13	3.50	cor_rejec
85.18	3.50	hit
90.67	3.50	omiss
96.12	3.50	cor_rejec
101.66	3.50	omiss
107.06	3.50	hit
112.70	3.50	hit
118.10	3.50	cor_rejec
123.63	3.50	hit
129.18	3.50	cor_rejec
134.63	3.50	omiss
140.11	3.50	cor_rejec
145.63	3.50	hit
151.35	3.50	cor_rejec
156.77	3.50	cor_rejec
162.30	3.50	cor_rejec
169.67	3.50	omiss
177.65	3.50	cor_rejec
184.65	3.50	hit
190.12	3.50	cor_rejec
195.52	3.50	omiss
200.97	3.50	hit
206.44	3.50	cor_rejec
212.09	3.50	omiss
219.49	3.50	cor_rejec
227.45	3.50	cor_rejec
234.65	3.50	cor_rejec
240.19	3.50	cor_rejec
245.65	3.50	cor_rejec
251.06	3.50	hit
256.56	3.50	cor_rejec
262.21	3.50	cor_rejec
267.67	3.50	cor_rejec
273.07	3.50	cor_rejec
278.86	3.50	hit
284.33	3.50	cor_rejec
289.87	3.50	omiss
295.36	3.50	hit
300.89	3.50	cor_rejec
306.36	3.50	hit
311.98	3.50	hit
317.38	3.50	cor_rejec
323.38	3.50	hit
328.93	3.50	hit
334.34	3.50	cor_rejec
339.83	3.50	hit
345.23	3.50	hit
353.03	3.50	cor_rejec
361.03	3.50	hit
367.13	3.50	cor_rejec
372.62	3.50	omiss
378.02	3.50	omiss
383.43	3.50	cor_rejec
388.95	3.50	cor_rejec
394.59	3.50	cor_rejec
399.99	3.50	hit
405.48	3.50	omiss
410.90	3.50	cor_rejec
416.35	3.50	cor_rejec
421.81	3.50	cor_rejec
428.01	3.50	omiss
435.41	3.50	cor_rejec
443.41	3.50	cor_rejec
450.46	3.50	hit
456.01	3.50	hit
461.47	3.50	cor_rejec
466.92	3.50	cor_rejec
472.43	3.50	omiss
477.98	3.50	cor_rejec
483.42	3.50	omiss
488.93	3.50	cor_rejec
494.47	3.50	omiss
499.92	3.50	hit
505.49	3.50	cor_rejec
510.90	3.50	cor_rejec
516.49	3.50	hit
521.89	3.50	hit
