onset	duration	event_type
2.01	3.50	omiss
7.56	3.50	cor_rejec
13.07	3.50	hit
18.57	3.50	cor_rejec
24.19	3.50	omiss
29.69	3.50	cor_rejec
35.39	3.50	omiss
43.39	3.50	cor_rejec
50.89	3.50	omiss
57.04	3.50	cor_rejec
62.56	3.50	cor_rejec
68.07	3.50	hit
73.58	3.50	cor_rejec
79.08	3.50	omiss
85.13	3.50	cor_rejec
90.63	3.50	hit
96.08	3.50	hit
101.62	3.50	cor_rejec
107.02	3.50	cor_rejec
112.65	3.50	hit
118.05	3.50	cor_rejec
123.58	3.50	hit
129.13	3.50	hit
134.59	3.50	cor_rejec
140.08	3.50	cor_rejec
145.59	3.50	hit
151.31	3.50	cor_rejec
156.74	3.50	hit
162.28	3.50	cor_rejec
169.64	3.50	cor_rejec
177.64	3.50	cor_rejec
184.65	3.50	omiss
190.11	3.50	cor_rejec
195.51	3.50	hit
200.96	3.50	cor_rejec
206.43	3.50	omiss
212.08	3.50	hit
219.48	3.50	omiss
227.45	3.50	cor_rejec
234.65	3.50	hit
240.20	3.50	hit
245.67	3.50	omiss
251.07	3.50	cor_rejec
256.57	3.50	cor_rejec
262.22	3.50	hit
267.69	3.50	cor_rejec
273.09	3.50	hit
278.88	3.50	cor_rejec
284.35	3.50	hit
289.89	3.50	cor_rejec
295.37	3.50	hit
300.90	3.50	hit
306.37	3.50	hit
311.99	3.50	cor_rejec
317.39	3.50	hit
323.39	3.50	cor_rejec
328.92	3.50	cor_rejec
334.34	3.50	omiss
339.82	3.50	cor_rejec
345.22	3.50	cor_rejec
353.02	3.50	hit
361.02	3.50	cor_rejec
367.12	3.50	omiss
372.61	3.50	cor_rejec
378.01	3.50	hit
383.43	3.50	cor_rejec
388.94	3.50	cor_rejec
394.58	3.50	hit
399.98	3.50	cor_rejec
405.46	3.50	omiss
410.88	3.50	cor_rejec
416.33	3.50	hit
421.78	3.50	hit
427.98	3.50	hit
435.38	3.50	hit
443.38	3.50	cor_rejec
450.43	3.50	omiss
455.98	3.50	cor_rejec
461.43	3.50	cor_rejec
466.88	3.50	omiss
472.40	3.50	cor_rejec
477.95	3.50	cor_rejec
483.38	3.50	omiss
488.90	3.50	cor_rejec
494.44	3.50	hit
499.89	3.50	cor_rejec
505.45	3.50	cor_rejec
510.87	3.50	hit
516.45	3.50	cor_rejec
521.86	3.50	omiss
