onset	duration	event_type
2.02	3.50	cor_rejec
7.57	3.50	omiss
13.09	3.50	cor_rejec
18.59	3.50	hit
24.20	3.50	cor_rejec
29.69	3.50	cor_rejec
35.39	3.50	omiss
43.39	3.50	omiss
50.89	3.50	cor_rejec
57.04	3.50	hit
62.56	3.50	cor_rejec
68.07	3.50	cor_rejec
73.57	3.50	cor_rejec
79.07	3.50	omiss
85.13	3.50	cor_rejec
90.61	3.50	cor_rejec
96.04	3.50	hit
101.58	3.50	cor_rejec
106.98	3.50	cor_rejec
112.61	3.50	cor_rejec
118.01	3.50	hit
123.55	3.50	cor_rejec
129.10	3.50	hit
134.55	3.50	cor_rejec
140.04	3.50	omiss
145.56	3.50	cor_rejec
151.28	3.50	hit
156.70	3.50	omiss
162.23	3.50	omiss
169.60	3.50	cor_rejec
177.60	3.50	omiss
184.60	3.50	cor_rejec
190.06	3.50	omiss
195.47	3.50	cor_rejec
200.92	3.50	cor_rejec
206.38	3.50	hit
212.04	3.50	cor_rejec
219.44	3.50	hit
227.40	3.50	hit
234.61	3.50	hit
240.15	3.50	omiss
245.62	3.50	omiss
251.02	3.50	cor_rejec
256.52	3.50	hit
262.18	3.50	omiss
267.64	3.50	hit
273.04	3.50	hit
278.84	3.50	cor_rejec
284.31	3.50	hit
289.85	3.50	cor_rejec
295.34	3.50	cor_rejec
300.88	3.50	omiss
306.35	3.50	false_alarm
311.97	3.50	cor_rejec
317.37	3.50	omiss
323.37	3.50	cor_rejec
328.91	3.50	cor_rejec
334.32	3.50	omiss
339.81	3.50	cor_rejec
345.21	3.50	cor_rejec
353.01	3.50	hit
361.01	3.50	cor_rejec
367.11	3.50	hit
372.59	3.50	cor_rejec
377.99	3.50	cor_rejec
383.41	3.50	hit
388.93	3.50	hit
394.56	3.50	hit
399.96	3.50	cor_rejec
405.44	3.50	cor_rejec
410.86	3.50	hit
416.31	3.50	hit
421.76	3.50	omiss
427.96	3.50	cor_rejec
435.36	3.50	omiss
443.36	3.50	hit
450.41	3.50	cor_rejec
455.96	3.50	cor_rejec
461.41	3.50	hit
466.86	3.50	hit
472.38	3.50	cor_rejec
477.91	3.50	hit
483.35	3.50	cor_rejec
488.86	3.50	omiss
494.40	3.50	false_alarm
499.85	3.50	false_alarm
505.42	3.50	hit
510.83	3.50	omiss
516.42	3.50	false_alarm
521.82	3.50	cor_rejec
